Gender,Height,Weight,Index,BMI
Female,185,110,4,32.14024835646457
Female,195,104,3,27.350427350427353
Female,169,103,4,36.0631630545149
Female,159,80,4,31.644317867172973
Female,192,101,3,27.39800347222222
Female,153,107,5,45.70891537442864
Female,157,110,5,44.62655685829039
Female,153,149,5,63.650732624204366
Female,169,97,4,33.96239627464025
Female,172,67,2,22.647376960519203
Female,151,64,3,28.068944344546292
Female,163,159,5,59.844179306710835
Female,195,65,1,17.094017094017094
Female,160,131,5,51.17187499999999
Female,157,153,5,62.07148363016755
Female,189,132,4,36.9530528260687
Female,197,114,3,29.374629596227678
Female,171,152,5,51.981806367771284
Female,185,81,2,23.66691015339664
Female,175,120,4,39.183673469387756
Female,149,108,5,48.64645736678528
Female,182,126,4,38.03888419273034
Female,188,122,4,34.51788139429606
Female,168,135,5,47.831632653061234
Female,176,54,1,17.43285123966942
Female,187,89,3,25.45111384369012
Female,164,70,3,26.026174895895306
Female,191,54,0,14.802225816178286
Female,141,143,5,71.92797143000855
Female,179,158,5,49.3118192316095
Female,172,96,4,32.44997295835587
Female,168,59,2,20.904195011337873
Female,164,82,4,30.487804878048784
Female,194,136,4,36.13561483685833
Female,153,51,2,21.78649237472767
Female,185,100,3,29.218407596785973
Female,197,154,4,39.681517173851425
Female,168,90,4,31.88775510204082
Female,176,122,4,39.385330578512395
Female,166,140,5,50.80563216722311
Female,190,105,3,29.085872576177287
Female,175,141,5,46.04081632653061
Female,159,104,5,41.13761322732486
Female,185,140,5,40.90577063550036
Female,178,154,5,48.604974119429365
Female,183,96,3,28.666129176744597
Female,194,111,3,29.4930385800829
Female,170,156,5,53.979238754325266
Female,190,50,0,13.850415512465375
Female,198,145,4,36.98602183450669
Female,192,140,4,37.97743055555556
Female,181,106,4,32.35554470254266
Female,150,70,4,31.11111111111111
Female,146,157,5,73.65359354475513
Female,192,90,2,24.4140625
Female,177,96,4,30.642535669826675
Female,165,57,2,20.936639118457304
Female,146,104,5,48.78964158378683
Female,176,156,5,50.361570247933884
Female,168,87,4,30.824829931972793
Female,184,160,5,47.25897920604915
Female,158,149,5,59.685947764781275
Female,145,79,4,37.574316290130795
Female,168,139,5,49.248866213151935
Female,187,70,2,20.0177299894192
Female,158,153,5,61.28825508732574
Female,167,110,4,39.442073935960416
Female,171,155,5,53.00776307239835
Female,183,150,5,44.790826838663435
Female,190,156,5,43.21329639889197
Female,169,54,2,18.906901018871892
Female,167,85,4,30.477966223242138
Female,140,146,5,74.48979591836736
Female,168,115,3,40.74546485260772
Female,196,50,0,13.015410245730946
Female,150,60,3,26.666666666666668
Female,168,140,5,49.60317460317461
Female,155,111,5,46.20187304890738
Female,179,103,4,32.14631253706189
Female,182,84,3,25.359256128486894
Female,187,102,3,29.168692270296543
Female,184,76,2,22.448015122873343
Female,182,143,5,43.17111459968603
Female,172,111,4,37.52028123309898
Female,156,106,5,43.5568704799474
Female,151,67,3,29.384676110696898
Female,188,80,2,22.634676324128566
Female,196,131,4,34.10037484381508
Female,185,119,4,34.76990504017531
Female,170,102,4,35.294117647058826
Female,181,94,3,28.692652849424622
Female,166,126,5,45.7250689505008
Female,162,74,3,28.19692120103642
Female,192,108,3,29.296875
Female,167,135,5,48.40618164867869
Female,182,84,3,25.359256128486894
Female,161,134,5,51.69553643763743
Female,142,137,5,67.9428684784765
Female,177,117,4,37.34559034760126
Female,166,144,5,52.2572216577152
Female,156,89,4,36.571334648257725
Female,150,87,4,38.666666666666664
Female,196,122,4,31.75760099958351
Female,148,67,4,30.58802045288532
Female,150,84,4,37.333333333333336
Female,153,146,5,62.369174249220386
Female,196,159,5,41.38900458142441
Female,185,52,0,15.193571950328705
Female,171,131,5,44.800109435381835
Female,143,118,5,57.70453322900876
Female,142,86,5,42.65026780400714
Female,141,126,5,63.37709370755999
Female,173,82,2,27.39817568244846
Female,152,90,4,38.95429362880886
Female,155,144,5,59.93756503642039
Female,171,120,5,41.03826818508259
Female,186,137,4,39.59995375187882
Female,153,78,2,33.320517749583495
Female,184,86,3,25.401701323251416
Female,177,81,3,25.854639471416256
Female,174,65,2,21.469150482230148
Female,146,110,5,51.604428598236076
Female,177,155,5,49.47492738357432
Female,183,50,0,14.930275612887812
Female,142,159,5,78.85340210275739
Female,188,90,3,25.46401086464464
Female,162,159,5,60.58527663465934
Female,162,58,2,22.10028959000152
Female,172,109,4,36.84424012979989
Female,150,119,5,52.888888888888886
Female,169,145,5,50.76853051363749
Female,184,132,4,38.98865784499055
Female,157,52,2,21.096190514828187
Female,187,121,4,34.60207612456747
Female,163,57,0,21.453573713726524
Female,187,94,3,26.88095170007721
Female,179,114,4,35.57941387597141
Female,147,126,5,58.30903790087464
Female,147,94,5,43.50039335462076
Female,192,139,4,37.70616319444444
Female,156,52,2,21.367521367521366
Female,162,68,3,25.910684346898332
Female,165,83,4,30.48668503213958
Female,168,143,5,50.666099773242635
Female,169,88,2,30.811246104828268
Female,140,76,4,38.77551020408164
Female,187,92,3,26.309016557522373
Female,186,140,5,40.46710602381778
Female,156,126,5,51.77514792899408
Female,180,156,5,48.148148148148145
Female,179,67,2,20.91070815517618
Female,180,60,2,18.51851851851852
Female,154,132,5,55.65862708719852
Female,190,118,4,32.686980609418285
Female,181,111,4,33.88174964134184
Female,144,66,4,31.828703703703706
Female,148,54,2,24.653031409788166
Female,199,92,2,23.23173657230878
Female,167,85,4,30.477966223242138
Female,164,71,3,26.397977394408095
Female,185,102,3,29.802775748721693
Female,164,160,5,59.48839976204641
Female,172,62,2,20.9572742022715
Female,157,56,2,22.7189744005842
Female,167,153,5,54.86033920183585
Female,164,126,5,46.84711481261155
Female,189,125,4,34.993421236807485
Female,161,145,5,55.93919987654797
Female,155,71,3,29.552549427679498
Female,171,118,4,40.35429704866455
Female,154,92,4,38.792376454714116
Female,184,106,4,31.30907372400756
Female,191,68,2,18.63983991666895
Female,157,60,2,24.341758286340216
Female,160,51,2,19.921874999999996
Female,189,124,4,34.71347386691302
Female,186,143,5,41.334258295756726
Female,180,58,1,17.901234567901234
Female,186,148,4,42.77951208232165
Female,193,61,1,16.376278557813635
Female,151,158,5,69.29520635059866
Female,195,147,4,38.658777120315584
Female,184,152,5,44.89603024574669
Female,185,94,3,27.465303140978815
Female,186,127,4,36.70944617874898
Female,147,67,4,31.005599518719055
Female,160,124,5,48.43749999999999
Female,163,63,2,23.711844630960897
Female,150,144,5,64.0
Female,154,96,5,40.47900151796256
Female,182,149,5,44.98249003743509
Female,197,72,2,18.552397639722745
Female,160,83,4,32.42187499999999
Female,157,66,3,26.775934114974238
Female,150,50,2,22.22222222222222
Female,167,58,2,20.796729893506402
Female,180,70,2,21.604938271604937
Female,183,76,2,22.694018931589476
Female,183,87,3,25.97867956642479
Female,152,154,5,66.6551246537396
Female,164,71,3,26.397977394408095
Female,149,61,3,27.476239809017613
Female,195,104,3,27.350427350427353
Female,146,123,5,57.70313379620943
Female,166,133,5,48.265350558861954
Female,177,101,4,32.23850106929682
Female,161,154,5,59.411288144747495
Female,157,103,5,41.78668505821737
Female,169,98,4,34.31252407128602
Female,152,114,5,49.3421052631579
Female,162,64,2,24.38652644413961
Female,177,61,2,19.4707778735357
Female,195,61,1,16.04207758053912
Female,186,146,5,42.20141056769568
Female,178,107,4,33.77098851155157
Female,180,59,1,18.209876543209877
Female,187,130,4,37.17578426606422
Female,153,77,4,32.89333162458883
Female,165,95,4,34.894398530762174
Female,178,79,2,24.933720489837143
Female,163,154,5,57.96228687568219
Female,150,97,5,43.111111111111114
Female,153,133,5,56.8157546242898
Female,166,153,5,55.5232980113224
Female,172,116,4,39.21038399134668
Female,186,128,4,36.99849693606197
Female,176,121,4,39.0625
Female,146,101,5,47.38224807656221
Female,172,90,4,30.42184964845863
Female,169,121,5,42.365463394138864
Female,183,79,2,23.589835468362743
Female,188,128,4,36.215482118605706
Female,175,83,2,27.102040816326532
Female,184,147,5,43.41918714555765
Female,145,141,5,67.06302021403091
Female,181,80,2,24.41927902078691
Female,188,99,3,28.010411951109102
Female,178,65,2,20.515086478979924
Female,167,79,3,28.326580372189753
Female,164,142,5,52.79595478881619
Female,151,55,2,24.121749046094468
Female,147,107,5,49.5164052015364
Female,155,115,5,47.86680541103017
Female,172,108,4,36.50621957815036
Female,142,86,5,42.65026780400714
Female,188,115,4,32.537347215934815
Female,160,109,5,42.57812499999999
Female,179,150,5,46.81501825785712
Female,164,59,2,21.936347412254616
Female,146,147,5,68.96228185400639
Female,198,50,0,12.753800632588511
Female,170,53,1,18.339100346020764
Female,150,153,5,68.0
Female,184,121,4,35.73960302457467
Female,141,136,5,68.40702177958856
